PUMFID,WGHT_PER,PRV,HAP_10C,TTLINCG1,PRA_10GR,AGEGR10,predicted_probability_raw,predicted_probability,predicted_label,risk_band
6924.0,107.8481,13,3.0,4.0,,5.0,0.71773314,0.71773314,1,Very high
6932.0,2301.4411,35,2.0,4.0,1,5.0,0.8949054,0.8949054,1,Very high
6934.0,452.8212,59,2.0,3.0,,6.0,0.8740412,0.8740412,1,Very high
6935.0,383.6804,48,1.0,2.0,9,4.0,0.59882665,0.59882665,0,High
6936.0,99.5178,13,2.0,3.0,,5.0,0.87418133,0.87418133,1,Very high
6939.0,321.9133,59,1.0,6.0,,6.0,0.7196156,0.7196156,1,Very high
6943.0,4340.3644,24,1.0,1.0,,1.0,0.3312805,0.3312805,0,Moderate
6944.0,20.4591,11,1.0,3.0,1,5.0,0.5754557,0.5754557,0,High
6949.0,211.5086,13,2.0,2.0,,3.0,0.77614725,0.77614725,1,Very high
6950.0,869.0236,59,1.0,2.0,4,6.0,0.8285133,0.8285133,1,Very high
6951.0,461.1931,35,6.0,4.0,,5.0,0.94079006,0.94079006,1,Very high
6954.0,58.4733,13,1.0,4.0,,5.0,0.7073747,0.7073747,1,Very high
6956.0,361.1489,46,1.0,3.0,,5.0,0.88452923,0.88452923,1,Very high
6960.0,1485.629,48,4.0,4.0,,1.0,0.912402,0.912402,1,Very high
6964.0,456.6456,35,4.0,4.0,,6.0,0.7692115,0.7692115,1,Very high
6969.0,1266.7055,35,1.0,1.0,,4.0,0.4470792,0.4470792,0,Moderate
6970.0,3065.4134,59,6.0,3.0,,4.0,0.9616174,0.9616174,1,Very high
6977.0,310.7341,46,1.0,1.0,,6.0,0.73708427,0.73708427,1,Very high
6982.0,619.1028,46,1.0,2.0,5,2.0,0.23621096,0.23621096,0,Low
6991.0,421.573,59,3.0,1.0,,6.0,0.9250615,0.9250615,1,Very high
6996.0,339.3519,12,1.0,1.0,,6.0,0.56760037,0.56760037,0,High
6998.0,427.0532,13,3.0,2.0,,3.0,0.9172519,0.9172519,1,Very high
7004.0,555.0258,46,1.0,2.0,,3.0,0.5728198,0.5728198,0,High
7010.0,651.5674,35,1.0,2.0,,6.0,0.47795537,0.47795537,0,Moderate
7012.0,1675.4179,35,1.0,2.0,,3.0,0.6170941,0.6170941,0,High
7016.0,475.2716,59,2.0,7.0,,5.0,0.8430983,0.8430983,1,Very high
7017.0,138.2355,13,1.0,2.0,,4.0,0.4936297,0.4936297,0,Moderate
7018.0,2652.1066,35,2.0,3.0,,2.0,0.46797702,0.46797702,0,Moderate
7024.0,119.3626,11,1.0,3.0,,5.0,0.34664437,0.34664437,0,Moderate
7027.0,1239.6837,59,4.0,4.0,,5.0,0.9156699,0.9156699,1,Very high
7029.0,5253.669,24,2.0,2.0,,2.0,0.7999952,0.7999952,1,Very high
7031.0,862.4552,35,2.0,2.0,,6.0,0.65336823,0.65336823,1,High
7040.0,1399.7257,48,3.0,1.0,,6.0,0.75199854,0.75199854,1,Very high
7045.0,509.7863,35,1.0,7.0,,5.0,0.84178203,0.84178203,1,Very high
7048.0,2734.903,59,2.0,7.0,,3.0,0.87813836,0.87813836,1,Very high
7051.0,2397.505,35,1.0,1.0,,5.0,0.3704862,0.3704862,0,Moderate
7052.0,1913.5347,35,1.0,3.0,,4.0,0.6251374,0.6251374,0,High
7055.0,462.4114,46,3.0,6.0,9,5.0,0.8749985,0.8749985,1,Very high
7061.0,168.3481,10,5.0,4.0,,5.0,0.8991465,0.8991465,1,Very high
7062.0,247.9687,13,1.0,1.0,,6.0,0.36550993,0.36550993,0,Moderate
7068.0,1105.7323,24,1.0,3.0,,6.0,0.60321134,0.60321134,0,High
7070.0,683.8425,59,4.0,3.0,,7.0,0.8561438,0.8561438,1,Very high
7071.0,796.1821,12,1.0,1.0,,5.0,0.5265128,0.5265128,0,High
7075.0,532.8661,59,2.0,3.0,5,2.0,0.8631965,0.8631965,1,Very high
7083.0,1951.0251,24,1.0,7.0,,5.0,0.5254092,0.5254092,0,High
7088.0,3203.3981,59,2.0,1.0,,1.0,0.47327346,0.47327346,0,Moderate
7090.0,4606.2992,35,1.0,3.0,,3.0,0.8491242,0.8491242,1,Very high
7093.0,549.1153,46,2.0,2.0,,7.0,0.7417891,0.7417891,1,Very high
7095.0,1577.4949,35,1.0,1.0,,2.0,0.79018223,0.79018223,1,Very high
7098.0,218.0229,12,6.0,5.0,,4.0,0.9406861,0.9406861,1,Very high
7099.0,62.8606,13,1.0,3.0,,7.0,0.76434344,0.76434344,1,Very high
7100.0,231.9043,48,1.0,5.0,,4.0,0.8610451,0.8610451,1,Very high
7101.0,1814.5858,24,1.0,2.0,,4.0,0.40338504,0.40338504,0,Moderate
7102.0,801.3657,59,2.0,4.0,,3.0,0.88155735,0.88155735,1,Very high
7105.0,99.5008,13,1.0,3.0,,5.0,0.51846576,0.51846576,0,High
7107.0,538.533,59,1.0,6.0,,5.0,0.787343,0.787343,1,Very high
7108.0,1316.8959,35,6.0,2.0,,7.0,0.9132283,0.9132283,1,Very high
7111.0,1432.6259,48,1.0,3.0,,2.0,0.27363437,0.27363437,0,Low
7119.0,841.3881,24,2.0,3.0,,5.0,0.8299079,0.8299079,1,Very high
7122.0,71.3273,12,1.0,2.0,,6.0,0.44900522,0.44900522,0,Moderate
7126.0,1236.3092,24,4.0,1.0,,6.0,0.83036005,0.83036005,1,Very high
7127.0,169.9445,13,3.0,5.0,,5.0,0.64929515,0.64929515,0,High
7137.0,4408.9342,35,5.0,1.0,,4.0,0.9412373,0.9412373,1,Very high
7139.0,294.7653,13,1.0,5.0,,4.0,0.29602122,0.29602122,0,Low
7140.0,746.9166,35,2.0,4.0,,5.0,0.8620386,0.8620386,1,Very high
7141.0,1164.975,48,3.0,7.0,9,6.0,0.8348879,0.8348879,1,Very high
7145.0,1617.7611,46,6.0,3.0,9,4.0,0.93813324,0.93813324,1,Very high
7155.0,239.4007,12,1.0,1.0,,6.0,0.7725251,0.7725251,1,Very high
